ID,Diameter,CL,Length,RL,RBN,FT10_mean
108,16.33333333,7.25,48.33333333,33,4.333333333,70
159,13.5,7,43.5,43.5,4.5,72
350,8.5,8.75,41.66666667,28,4.333333333,68.5
351,15,12.5,29.5,37.5,2,69.25
403,15,7.5,43,35.5,3,63.5
410,17.66666667,9,46.66666667,40.5,7.666666667,76
424,15.66666667,10.75,41.66666667,44.5,3.333333333,83.25
428,18,8.666666667,47.66666667,33.66666667,4,75.75
630,15,11.5,40,41,4,73.5
763,8,3,39.66666667,12,3,65.75
768,12,10.5,39,28,5,76.5
801,11,16.75,43.66666667,61,1.333333333,94.75
915,17.66666667,6.25,38.33333333,20,3.666666667,63.75
1002,18,13,50,77.75,0,102.75
1829,16.5,9.333333333,41.5,62,2,94.75
1890,14,10,45,45.25,4,101
1925,15.33333333,12,43.66666667,46,0.333333333,89.5
1954,17,13.5,48,50.25,10,93
2016,12,10,54.5,47.75,0,77.5
2171,16.5,15.5,46,54.25,0,79
2202,14,12.5,16,62.25,0,97.75
2276,20.33333333,13.5,44.66666667,59.5,1,83
2278,16,8.666666667,51,31,0,79.25
4807,10,15.33333333,48.66666667,62.75,2.333333333,79.75
4826,17,8.333333333,41,34.33333333,1.333333333,60
4884,12.5,10.33333333,42.66666667,32.25,5,70.25
4958,17.5,12.5,47.66666667,80.33333333,2,91.25
5023,16.66666667,7.25,46.33333333,23.25,2.333333333,61
5104,8.333333333,2.5,43.33333333,14.5,2,60
5210,16,12.66666667,48,52.5,6.333333333,96
5236,18.66666667,5.75,47.33333333,22.25,1.666666667,58.5
5276,15.5,8,29,26.25,0,74.5
5349,20,15.66666667,43,54.66666667,4.333333333,92
5353,10.66666667,9.5,41.33333333,44.25,5.666666667,71
5486,14,3.5,38,15,0,60.5
5644,16,5.5,48.33333333,20.5,4,60.75
5720,15.66666667,8.666666667,47.66666667,36.33333333,0.333333333,92
5726,18.33333333,7.25,43.33333333,30.25,4,74
5741,13.33333333,14.25,41.33333333,61.5,3.333333333,97.25
5772,18.33333333,8,62,28.75,6.666666667,66.75
5779,16,19.25,44.66666667,39.25,12,90.5
5784,14,13.25,43.33333333,39.75,7.333333333,101.75
5800,13.66666667,4,45,13.33333333,3.333333333,61.75
5811,18.5,7,39.5,24.5,0.666666667,72
5874,18,10.66666667,50,46.75,5,78
5890,16.33333333,9.75,35.5,33,4.666666667,78.25
5907,12,9.25,35.33333333,37,5.666666667,66.5
5921,13,9.25,27,44.25,6,82.5
5950,11,15.25,47,57.5,0,81.25
5984,15,5.25,41,21.75,6.333333333,66.75
5993,16,10.5,30,49,4,82.5
6008,16.66666667,7.25,31.33333333,23.25,2,73.5
6086,14,13.33333333,40,50,2,100.5
6111,22,16.33333333,51,61.33333333,0.5,111.75
6140,18,19,27,74.5,0,98.75
6198,15,9.5,45,43.5,3,88.25
6201,14,15,43,63.25,3,94.25
6296,13.66666667,7.666666667,43.66666667,26.25,7.333333333,75
6390,9.5,8.666666667,46.66666667,36,9,71.75
6434,10,4.666666667,40.66666667,14.5,1.333333333,62.75
6445,12,6.5,49,24.75,4.5,67
6680,12.5,16,44,72.66666667,6,99.25
6744,18,8.666666667,45,22.5,7.666666667,63.25
6900,15,11,37,82,0,116
6909,13,4,36,16,4,70.5
6970,16.66666667,7.5,48.66666667,34.75,7.333333333,62.5
6989,13.66666667,6.5,39.5,34.5,4.333333333,78.25
6992,10,6.75,38,27.25,3,68
7013,15.66666667,5.5,53.33333333,16.75,4.333333333,63
7028,10.33333333,5.25,41,19.5,5.333333333,57.5
7058,12.66666667,9.25,42,34.5,4.333333333,87.25
7067,10,7,40,20.25,6,58.75
7094,14.33333333,5.5,31,16,6.333333333,67.25
7102,15.33333333,12.5,39,59,2,87.25
7106,14,5.5,48.66666667,19.5,3.333333333,76.5
7119,12,7.25,36,20,4.5,65.5
7161,16,5,48.66666667,15.66666667,6.333333333,61.25
7164,13.5,7,46,40.75,4.666666667,69.75
7165,15.33333333,6.5,56.66666667,21.25,5.333333333,71.5
7169,14.66666667,19.75,33,51.75,2.666666667,82.5
7186,14,9.5,47,30.75,4,75
7202,13.5,4,51,15.25,5.666666667,63
7218,15.66666667,11.33333333,43.33333333,44,4.666666667,75
7231,9,5.333333333,29.66666667,17,4.333333333,65.75
7244,15,8.25,47.66666667,23.5,5.333333333,68
7250,13,3.75,51.5,11,7.5,58
7282,17.66666667,4.75,47,17.75,3.333333333,62.5
7288,16.5,13,54.5,43.25,4,82.5
7296,18,7.75,48.5,25,4.5,84.25
7316,19,15,57.66666667,51.33333333,6.666666667,81.25
7320,11,8.5,44,36.75,4,80.75
7322,15,13.25,43.33333333,40,1.5,76.5
7328,14,6.75,39.66666667,32.75,1.333333333,56.25
7346,10.5,8.333333333,42.5,35,4,78.25
7350,15,7,44.5,35,6.5,80
7353,16,8.5,29.5,53,9,86
7354,17,16,12.5,71,3.5,100.25
7372,16,10,45.66666667,32.5,3.666666667,83
7373,23.5,9.5,49.66666667,36.75,5.666666667,81.25
7377,16.66666667,9.5,49.33333333,35.5,4.666666667,75.75
7396,21.33333333,10.5,52.66666667,42.25,8,61.5
7404,9.333333333,6.666666667,36,17.5,3.666666667,68.5
7413,19.5,5.75,47.66666667,30.5,2,69.25
7418,12,8.75,46.66666667,20.25,6,63.5
7424,15.66666667,2.5,44.66666667,12.5,5,57.75
7427,17.5,11.33333333,31.5,49,3,101
7477,13.66666667,11,44.33333333,28.25,3.666666667,74
7917,16,17.75,38,56.25,6,82.25
8077,17.5,7.25,32.5,43.5,4,70
8132,15,9,38.5,41.33333333,1.5,74
8233,15.33333333,9,33,49,5,75.5
8235,15,10.5,37.5,50.75,9.5,74.5
8236,15,7.333333333,51.33333333,41.66666667,2.666666667,74
8238,17,9.75,46,35.25,0,79.5
8239,18,6.25,43,19.5,4,56
8244,17.66666667,13,45.33333333,43.5,5,90.5
8246,15,12.33333333,28.33333333,55.75,8.333333333,70.5
8247,17.5,18,41.5,63,0,98
8259,18.5,12,50,41.5,7,88
8284,15,17,39.5,49.25,7.333333333,83.25
8290,12,8,40,22.25,4.5,63.25
8297,14,12.25,42,60,8,85.75
8334,18,6.25,33,27.5,0,74.75
8337,19.5,14.33333333,52,52.25,6,74
8343,9,11.5,50.33333333,44.5,2,81.25
8351,17.5,10.5,13.5,67.25,11,103
8357,14.5,11,43,40.5,1.5,71.75
8365,12,6.5,52,20.5,5,74
8386,15,7.75,41,33.5,0,75
8419,14.5,9.25,36.66666667,37.5,5,94.25
8424,15,9,30,40.75,3.666666667,68.25
9075,12.5,8.25,13,65,2.5,93.25
9078,10,10.66666667,33,63.25,4,100.25
9095,15,11.5,43,64.33333333,2,104
9102,14,11.25,29,59,0,83.75
9105,15.5,11.5,42.5,40,1,77.25
9106,14,11,35,39.5,2,87.25
9111,8,9.5,47.33333333,57.5,5,100.5
9113,8.5,7.333333333,34.66666667,45,4.666666667,76
9114,8,10.5,27,65,7,99.75
9128,13,7,38,36.33333333,0,69.5
9131,8,7,26,34.25,0.5,72.5
9133,14.5,6.75,42,40.25,1.5,73.25
9134,15.33333333,7.666666667,47.5,33.66666667,3,79.75
9298,14.5,7,50,26.5,5.5,60
9312,15.5,10,48,34.25,3,75.25
9314,16,8.666666667,45.66666667,42.5,1.5,74.25
9386,15,8,53,65.5,5,115.5
9405,14.5,21,29,57.66666667,0,103.5
9503,15.66666667,7.25,41.66666667,29.75,6.666666667,64
9506,12,12,34,47.25,5,77.75
9507,14,8.666666667,47,25.33333333,2,55
9508,12,8.666666667,26,45,2.5,62
9509,22,8.75,50,39.5,3,64.5
9511,15.5,9.5,45.5,34.75,7.5,64.25
9512,14.5,5.5,44,15,6.666666667,51.25
9515,14,7.25,50.5,27,5,56.25
9517,21,4,51,9.75,3,64
9518,18,16.66666667,41,54.66666667,5.5,92
9519,13,9.5,46.5,42.5,8,77.25
9521,18.5,9,46,36.75,6.5,69.75
9523,22.5,13.75,35.5,49.75,6,86.75
9524,15,14.66666667,47.5,76,6.5,97.25
9526,21,10.5,45,40.5,6,65
9527,14,14.25,50.5,55,2.5,86.25
9529,17,6.75,35.5,43.25,1.5,65
9530,17,8,34,55,7,90.5
9531,17,14,33,52.75,9,91
9535,17.66666667,16,44.66666667,69,6,93.5
9542,22,14,25,50.25,7.5,90
9543,18.5,9.666666667,31,42.33333333,9,94.33333333
9545,20.33333333,7,50,35,11,83.5
9549,16,13,45.5,36,10,91
9558,14,11.66666667,20,75,5,96.5
9560,14,9.25,51,33.5,9,69.25
9561,19.5,9,52,50,3,101
9562,21,12.75,52.5,37.75,5.5,93.25
9567,18,10,29.5,71,6.666666667,113
9573,11,7.666666667,39.66666667,41,6.333333333,70.25
9576,13.66666667,16.5,41.66666667,52,4.666666667,106
9582,17.5,11,36.5,57.25,3.5,95.75
9585,23,2.5,30,7.5,0,52.25
9590,19,4.5,53,12.5,4,51.25
9591,14,5.5,35,19.25,1,67
9593,16.5,16,56.5,65.66666667,1.5,109.5
9597,20.33333333,7,40,41.66666667,3,69.75
9598,18,5,38.33333333,42,7.333333333,87
9599,17,14,28.5,53.33333333,7,84.75
9600,8,8,42,16,4,89.5
9606,16.33333333,4,44,15.5,4.666666667,63
9608,13,8.75,38,19.5,0,58
9610,19,14,46.33333333,30.75,6.666666667,82.25
9611,12,8.75,39.33333333,39.5,6,73.5
9613,15,16.5,41.33333333,47,3.333333333,81.75
9615,16.66666667,8.75,52.33333333,34,7,85.75
9616,11,11.66666667,47,43.5,0,93.5
9617,16.66666667,10.5,38,35.75,2,70.75
9619,11,6.5,45.33333333,42.5,3,77.33333333
9620,12,9,42,43.25,1,89.75
9621,18,9.75,45,39.5,0,92
9622,15.5,9,58,43,4,92
9628,12.5,7,57,31.5,3.666666667,78.5
9630,15,6.75,49.66666667,32,3.666666667,84.75
9632,9,8,49,43.33333333,3.5,92
9637,10,6.75,36,28.5,0,81.25
9639,8,5.75,43.5,35.5,0,78
9640,13,8.5,66,45,5,92.75
9642,18,10,45.5,41.75,0,95.5
9644,13,14.75,45,48.5,0,76.75
9645,16.5,11,21.5,61.25,0,77.5
9646,12.66666667,11.5,45.66666667,40.75,6.333333333,62.5
9647,17.66666667,7,38.66666667,27,0,67.75
9648,18,10.5,34,37.5,11,60
9649,21.66666667,10.75,45.33333333,40.5,8.666666667,76.25
9651,17,9.333333333,60.33333333,32.33333333,2.666666667,64
9653,23,7.25,48.5,22.25,7.5,59.5
9655,18.33333333,14,43.66666667,40,1.333333333,79
9656,15.33333333,13.66666667,40,42.33333333,2.333333333,78.25
9660,17.5,4.5,44.66666667,19,1.333333333,53.25
9661,13,5.333333333,49.5,19.33333333,1,55.25
9663,13,14.33333333,50.5,48.33333333,7,69.75
9684,18,17.33333333,41.5,55,2.5,84
9690,18.5,9.333333333,49.5,58,1,75.5
9693,16,9.5,40,58,1.666666667,68.5
9696,13,13.25,32,53.75,0,77.5
9697,12,12.66666667,36,47.33333333,2,77.5
9698,14.33333333,11.33333333,44.33333333,50,4.333333333,81
9699,17,8.333333333,41.33333333,48.66666667,1.333333333,74.25
9701,14,13.33333333,31.5,48,1,85.5
9704,15.66666667,7.666666667,36.33333333,55,3.666666667,75.5
9705,10.33333333,9.5,43.33333333,51,8.666666667,71.33333333
9706,18.5,13.33333333,44,49.75,0,95.25
9707,12,14.25,38.33333333,58,1.666666667,80.5
9709,12.5,11.75,23.5,56.25,2.5,82
9714,13,10,45.5,52.75,1,80.75
9717,12.5,11.66666667,33.5,41,1,90.25
9720,15,15.66666667,8,73.5,9.5,100.75
9721,15,18.75,35,47.25,5,77.5
9723,19.66666667,10,38.33333333,39.33333333,1.333333333,76
9725,12,7,28,41,4,61.25
9726,13.66666667,8.333333333,38,34,2,67
9727,18,6.25,46.66666667,22.5,7.666666667,61.25
9728,20,13.5,30.66666667,54,5,77.5
9729,15,20,51.5,58,5,96.75
9730,15,14.25,47,51,5,89
9731,12,16.75,47,52.5,6,92.5
9736,17,8.333333333,28,51.66666667,0,78
9741,12,11.5,47.5,54.25,0,88
9743,13,13,64,54.75,3,79.5
9744,14,10.33333333,55.33333333,40.33333333,0,78.75
9745,13.5,5.25,46.5,39.25,5.5,79.5
9747,17,13,41.33333333,70,0.333333333,86
9748,14.33333333,12,42,50.33333333,2,81
9759,18,9,45,36.5,4.5,61.5
9762,16.33333333,12.25,47,40.5,3.333333333,95.5
9768,15.33333333,10.33333333,48,26.33333333,8.666666667,74.5
9769,12,7.333333333,41,23.25,8,66.5
9770,11,8.333333333,43.66666667,23,4.333333333,67
9771,10.5,6.25,45.33333333,23.5,1.666666667,62.5
9772,19,5.5,50.33333333,20,6.333333333,67
9774,17,7,49.5,20.5,2.666666667,68
9775,8.666666667,7,42.33333333,26.5,2.333333333,60
9776,18.66666667,6,49.66666667,18,6.666666667,65.25
9778,11.5,6,36.5,37,2,71.5
9779,17.33333333,7,48,26.66666667,6,63.25
9780,20.66666667,7.25,48,23.5,7.333333333,72.25
9781,20,4.666666667,40.5,22.33333333,6,60
9782,9.5,4.75,45,21.5,4.666666667,63.25
9783,18.5,10,45.5,46.33333333,5.5,76.5
9784,17.66666667,7,42.66666667,23.5,6.333333333,60.25
9785,18,8,41.5,27.5,4.5,63.25
9786,15.66666667,5.25,46,17.25,4.666666667,64.75
9788,19,7,58,19.66666667,5,62.5
9789,16,6.25,44.5,21.25,8.5,65
9790,15,6,45.5,18.75,8.5,66.75
9791,20.33333333,8.333333333,49.33333333,15.66666667,6.666666667,65.33333333
9792,17,6,49,19.5,6.666666667,62.75
9793,16,8.666666667,42.5,15.66666667,7,62
9794,17.33333333,6.5,51.66666667,20.5,5,69.25
9795,8,5,52,14.75,5.5,57.75
9796,18,6,50.33333333,25.5,8.666666667,73.5
9797,17.66666667,4.75,34.66666667,24.5,6,69
9798,11.33333333,5,39.66666667,20.33333333,6,65.25
9799,14.66666667,7.5,36.66666667,28,5.666666667,66.25
9800,15,4.75,41,20.5,5,68.5
9801,14,3.666666667,45.66666667,13,5.666666667,62
9802,20.33333333,6,42,20.5,5,69.75
9803,9,5,56,19.5,5,63
9804,21.66666667,7,47.66666667,24.5,8,65.75
9805,19,9.5,48.33333333,23.25,7.666666667,70.5
9806,21,4.5,43.66666667,16.5,10,67
9807,15.5,6,45.33333333,21.25,4.333333333,67.5
9808,18,12.5,38.66666667,32.75,6.666666667,75.25
9809,16.5,7.666666667,51,32,7,74.75
9811,13,6,31.33333333,24.25,3.5,69.75
9812,15,8,53.33333333,23,6.666666667,67.75
9813,17.33333333,7,41.33333333,22.75,7.333333333,65.75
9814,14.33333333,4.333333333,39.66666667,19.33333333,6,71.5
9815,19.33333333,10,44.33333333,30,6.333333333,72.5
9816,9.666666667,3.5,34.66666667,15.25,2.333333333,63
9819,12,15,36.5,56.5,3,98
9821,18,14.75,44.66666667,56.25,5.333333333,79.5
9823,13,6.5,8,19.75,0,63
9827,19.5,8.25,40.5,49.5,6,69.25
9830,15,4,27,34.75,0,61.5
9831,12,7,35.5,45.33333333,9,86.25
9832,19.66666667,15.5,45.33333333,43.33333333,7,97
9833,21,11,51,50.33333333,5,75.75
9835,17,11,38.33333333,38.5,7.666666667,81.75
9843,18,10.66666667,49,45.66666667,3,62.75
9844,15,9.25,8.5,48.66666667,2.666666667,89.25
9845,21,6.666666667,47.5,34,2,77.5
9849,19,18,51,43,6,99
9850,21,8,38,54.33333333,0,95.5
9854,8,6,32,19,6,58.75
9855,8,9.333333333,42.5,42.66666667,5,73
9856,15,12.33333333,50.5,35.25,4.5,75.25
9859,18,11,37,31,8,76.25
9862,19.33333333,12.75,47,32.75,2.333333333,67.5
9864,16,7.25,37.66666667,30.25,8,63.25
9866,15,15,37,55,5,104.75
9867,17.66666667,12,42.66666667,79.66666667,6,101.75
9870,15.66666667,9,28.33333333,65,12,100.5
9875,11,6.25,29,18.75,4.5,63.75
9876,21,12.5,51.66666667,55.75,7,87.25
9881,16.5,10,45.66666667,53.75,7,82
9883,14,5,43.5,17.5,3,60
9888,16,11.33333333,48.33333333,64,5,86.25
9894,8,8.666666667,53,51.33333333,10,88.25
9895,21,10,46,46,12,75.75
9897,18,12,48,53.5,5,81
9898,13,26,47,67.5,5,97.75
9899,20,8.25,29.5,41.5,2,70.75
9900,18,6.75,31,23,0,53
9902,13,12.5,44.5,71,3.666666667,98
9908,19,8,30,26.25,4,65.25
9909,11.5,12.75,38,32.5,3,87
9911,16,3.75,48.33333333,25.25,6.666666667,66
9915,11.5,12.5,39.66666667,61.5,4,84.25
9918,17.5,14,43.5,59.5,0,81.25
9920,18.5,4.666666667,46.66666667,23.33333333,5.333333333,64
9921,11,6.25,39.5,19,3,64.5
9924,12.33333333,8.75,37,27.75,5.333333333,66.5
9929,8,10.33333333,45,59.25,1,85.25
9933,17.5,4,8,15.66666667,2,76.75
9937,15.66666667,9.75,40.33333333,31.75,7.333333333,67
9938,16,7,48.33333333,30,1,67.25
9939,16.5,12,50,47.75,3.666666667,75.25
9941,20.33333333,6,45.33333333,22.25,5.666666667,70
9944,17,5,48.33333333,42.33333333,6.333333333,75.75
9945,12,13,35.66666667,31,2.666666667,113.5
9950,19,14.75,45.5,51,3.5,99
9953,16.5,10,44.33333333,35.5,2.333333333,88
9958,13,9,32,48.5,0.5,82
9959,11,12.25,38.66666667,36.5,3,81.5
9960,11,10.66666667,55,40.66666667,9,82.5
9962,13.5,14,38,62.25,2,78
9963,8,8,44,55,6.5,75
9964,15,12.25,50.5,40.5,2.5,70
9966,16.5,12.75,58,64,1,90.5
9968,16,18,35,43.25,5,66.75
9969,18,17.66666667,40.33333333,42.25,0,68.75
9970,15,9.75,65,67.75,1,86.5
9972,21.66666667,9.5,51.33333333,51,1,63
9976,13.33333333,9,37.66666667,51.25,7,79
9979,14.5,14.66666667,51,44.33333333,1,82.5
9983,19,9,36.5,35,0,63
9985,19.33333333,12,44,39.25,7,71
9987,17.5,14.66666667,39,60.75,3.333333333,91
9988,13.5,11,48.33333333,82,3.333333333,95.5
9990,14,10,31,47,0,83.75
9991,20.66666667,18.25,42.66666667,47,2.5,90.5
9998,16.33333333,5.25,41.33333333,24.75,6.333333333,68
10001,17,7.75,37,30.25,5,68.75
10002,18,4.25,45,15.75,6,61
10009,14.5,7,51,44.75,0.5,80.75
10011,14,7,33,34,0.5,71
10013,16,10.75,58,51.5,4.333333333,92.25
10015,15.33333333,5.75,48.33333333,23.5,3.666666667,69.75
10018,17,10.66666667,51,47.66666667,5,90
10020,17.33333333,9,44.33333333,34.25,0.333333333,72.5
10022,21,5,38,26,11,73.5
10023,13,17.75,47,59.66666667,9,96.25
